first_name,last_name,full_name,nickname,height,weight,reach,stance,wins,losses,draws
Colton,Smith,Colton Smith,,"6' 0""",155 lbs.,"71.0""",Orthodox,7,4,0
Gilbert,Smith,Gilbert Smith,,"5' 9""",185 lbs.,--,Southpaw,12,6,0
Leslie,Smith,Leslie Smith,The Peacemaker,"5' 9""",135 lbs.,"66.0""",Orthodox,10,7,1
Devonte,Smith,Devonte Smith,King Kage,"5' 9""",155 lbs.,"76.0""",Orthodox,11,4,0
Cole,Smith,Cole Smith,The Cole Train,"5' 11""",135 lbs.,"67.0""",Orthodox,7,2,0
Nate,Smith,Nate Smith,The Savage,"5' 6""",125 lbs.,"69.0""",Switch,6,1,0
Braxton,Smith,Braxton Smith,The Beautiful Monster,"5' 11""",257 lbs.,"72.0""",Orthodox,5,2,0
Elijah,Smith,Elijah Smith,Swift,"5' 9""",135 lbs.,"71.0""",Orthodox,9,1,0
Jacobe,Smith,Jacobe Smith,Cobe,"5' 10""",170 lbs.,"72.0""",Southpaw,11,0,0
Walter,Smith-Cotito,Walter Smith-Cotito,,"5' 8""",135 lbs.,--,,4,5,0
Justin,Smitley,Justin Smitley,,--,145 lbs.,--,,10,7,1
Dmitrii,Smoliakov,Dmitrii Smoliakov,The Lifeguard,"6' 2""",253 lbs.,"74.0""",Switch,9,3,0
Louis,Smolka,Louis Smolka,Da Last Samurai,"5' 9""",135 lbs.,"68.0""",Orthodox,17,9,0
Cameron,Smotherman,Cameron Smotherman,The Baby-Faced Killa,"5' 9""",135 lbs.,"69.0""",Orthodox,12,6,0
Shimon,Smotritsky,Shimon Smotritsky,The Assassin,"6' 2""",170 lbs.,"74.0""",Orthodox,8,2,0
Richie,Smullen,Richie Smullen,,"5' 9""",155 lbs.,"68.0""",Orthodox,3,1,1
Devin,Smyth,Devin Smyth,,"5' 10""",170 lbs.,"72.0""",Switch,4,2,0
Denis,Sobolev,Denis Sobolev,,"6' 3""",216 lbs.,--,Orthodox,4,7,0
Peter,Sobotta,Peter Sobotta,,"6' 0""",170 lbs.,"75.0""",Southpaw,17,7,1
